Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
12346.0,165,11,372.86,2,5,2,252,At Risk,1
12347.0,3,2,1323.32,5,2,4,524,Loyal Customers,0
12348.0,74,1,222.15999999999997,2,1,1,211,At Risk,0
12349.0,43,3,2671.14,3,3,5,335,Regular Customers,0
12351.0,11,1,300.93,5,1,2,512,Loyal Customers,0
12352.0,11,2,343.8,5,2,2,522,Loyal Customers,0
12353.0,44,1,317.76,3,1,2,312,Regular Customers,0
12355.0,203,1,488.21000000000004,1,1,2,112,At Risk,1
12356.0,16,3,3560.3,4,3,5,435,Loyal Customers,0
12357.0,24,2,12079.99,4,2,5,425,Loyal Customers,0
12358.0,11,3,2719.01,5,3,5,535,Loyal Customers,0
12359.0,61,6,2563.36,3,4,5,345,Regular Customers,0
12360.0,15,5,1590.83,5,4,4,544,Loyal Customers,0
12361.0,98,3,321.35,2,3,2,232,At Risk,0
12362.0,374,1,130.0,1,1,1,111,At Risk,1
12366.0,269,1,500.24,1,1,3,113,At Risk,1
12368.0,264,1,917.7,1,1,3,113,At Risk,1
12369.0,49,3,1791.15,3,3,4,334,Regular Customers,0
12370.0,260,3,774.62,1,3,3,133,At Risk,1
12371.0,45,3,2179.42,3,3,5,335,Regular Customers,0
12373.0,260,2,763.0500000000001,1,2,3,123,At Risk,1
12374.0,57,3,2246.29,3,3,5,335,Regular Customers,0
12376.0,25,2,503.15,4,2,3,423,Loyal Customers,0
12377.0,17,2,1798.2,4,2,4,424,Loyal Customers,0
12378.0,198,1,1407.7,1,1,4,114,At Risk,1
12379.0,58,2,767.98,3,2,3,323,Regular Customers,0
12380.0,101,7,6951.49,2,5,5,255,At Risk,0
12385.0,15,1,1938.4,5,1,4,514,Loyal Customers,0
12386.0,2,1,258.90000000000003,5,1,2,512,Loyal Customers,0
12387.0,51,1,143.94,3,1,1,311,Regular Customers,0
12388.0,81,2,1120.45,2,2,4,224,At Risk,0
12389.0,38,3,1433.33,3,3,4,334,Regular Customers,0
12391.0,100,5,2285.18,2,4,5,245,At Risk,0
12392.0,227,1,234.75000000000003,1,1,1,111,At Risk,1
12393.0,18,2,816.85,4,2,3,423,Loyal Customers,0
12395.0,7,4,2048.64,5,4,4,544,Loyal Customers,0
12396.0,310,1,931.4300000000001,1,1,3,113,At Risk,1
12399.0,21,3,853.65,4,3,3,433,Loyal Customers,0
12400.0,50,1,205.25,3,1,1,311,Regular Customers,0
12402.0,28,5,1031.3,4,4,4,444,Loyal Customers,0
12403.0,157,1,591.6600000000001,2,1,3,213,At Risk,1
12404.0,318,1,63.24,1,1,1,111,At Risk,1
12406.0,35,3,2975.06,4,3,5,435,Loyal Customers,0
12408.0,21,3,1452.22,4,3,4,434,Loyal Customers,0
12409.0,56,4,12346.62,3,4,5,345,Regular Customers,0
12410.0,138,1,320.38,2,1,2,212,At Risk,0
12411.0,45,1,346.9,3,1,2,312,Regular Customers,0
12412.0,38,3,1370.05,3,3,4,334,Regular Customers,0
12413.0,38,1,241.35,3,1,1,311,Regular Customers,0
12414.0,99,3,390.0,2,3,2,232,At Risk,0
12415.0,11,7,19543.84,5,5,5,555,Champions,0
12416.0,292,1,202.56,1,1,1,111,At Risk,1
12417.0,46,11,3148.31,3,5,5,355,Regular Customers,0
12418.0,49,3,1352.62,3,3,4,334,Regular Customers,0
12419.0,21,2,503.01,4,2,3,423,Loyal Customers,0
12421.0,51,2,291.56,3,2,2,322,Regular Customers,0
12422.0,30,14,4428.24,4,5,5,455,Loyal Customers,0
12423.0,23,2,763.08,4,2,3,423,Loyal Customers,0
12424.0,58,2,1579.07,3,2,4,324,Regular Customers,0
12425.0,84,1,964.21,2,1,3,213,At Risk,0
12426.0,298,1,762.48,1,1,3,113,At Risk,1
12427.0,7,1,303.5,5,1,2,512,Loyal Customers,0
12429.0,1,5,3735.51,5,4,5,545,Loyal Customers,0
12431.0,9,13,4370.52,5,5,5,555,Champions,0
12433.0,2,5,7205.39,5,4,5,545,Loyal Customers,0
12434.0,17,1,297.29,4,1,2,412,Loyal Customers,0
12435.0,32,4,6096.04,4,4,5,445,Loyal Customers,0
12437.0,31,21,7731.99,4,5,5,455,Loyal Customers,0
12439.0,318,2,1142.88,1,2,4,124,At Risk,1
12440.0,98,2,859.2,2,2,3,223,At Risk,0
12441.0,2,1,173.55,5,1,1,511,Loyal Customers,0
12443.0,368,1,485.31,1,1,2,112,At Risk,1
12445.0,56,1,301.58000000000004,3,1,2,312,Regular Customers,0
12449.0,46,2,768.6,3,2,3,323,Regular Customers,0
12450.0,35,3,490.32,4,3,2,432,Loyal Customers,0
12451.0,99,3,3634.36,2,3,5,235,At Risk,0
12454.0,31,4,13151.44,4,4,5,445,Loyal Customers,0
12455.0,81,4,3413.09,2,4,5,245,At Risk,0
12457.0,71,1,632.6800000000001,3,1,3,313,Regular Customers,0
12458.0,63,2,830.09,3,2,3,323,Regular Customers,0
12459.0,241,1,454.36,1,1,2,112,At Risk,1
12460.0,92,1,326.65,2,1,2,212,At Risk,0
12466.0,318,1,56.73,1,1,1,111,At Risk,1
12467.0,59,1,132.8,3,1,1,311,Regular Customers,0
12468.0,162,3,2941.2,2,3,5,235,At Risk,1
12469.0,158,2,3070.54,2,2,5,225,At Risk,1
12470.0,325,1,211.95,1,1,1,111,At Risk,1
12471.0,10,49,20129.54,5,5,5,555,Champions,3
12472.0,5,13,11308.48,5,5,5,555,Champions,0
12474.0,14,13,5048.66,5,5,5,555,Champions,0
12475.0,45,1,426.26,3,1,2,312,Regular Customers,0
12476.0,32,12,7267.49,4,5,5,455,Loyal Customers,0
12477.0,35,3,7056.63,4,3,5,435,Loyal Customers,0
12480.0,35,3,2183.2200000000003,4,3,5,435,Loyal Customers,0
12481.0,1,6,6765.07,5,4,5,545,Loyal Customers,0
12482.0,212,29,23691.4,1,5,5,155,At Risk,3
12483.0,14,11,2612.2000000000003,5,5,5,555,Champions,0
12484.0,119,6,1826.78,2,4,4,244,At Risk,0
12485.0,165,1,708.1,2,1,3,213,At Risk,1
12486.0,67,1,1037.28,3,1,4,314,Regular Customers,0
12487.0,366,1,285.3,1,1,2,112,At Risk,1
12490.0,14,11,4405.71,5,5,5,555,Champions,0
12492.0,39,1,452.0,3,1,2,312,Regular Customers,0
12494.0,1,3,626.77,5,3,3,533,Loyal Customers,0
12495.0,276,1,357.4,1,1,2,112,At Risk,1
12496.0,256,2,45.34,1,2,1,121,At Risk,1
12497.0,36,2,5205.400000000001,4,2,5,425,Loyal Customers,0
12499.0,196,1,393.72,1,1,2,112,At Risk,1
12500.0,71,8,1697.39,3,5,4,354,Regular Customers,0
12503.0,220,1,1126.0,1,1,4,114,At Risk,1
12504.0,53,2,297.0,3,2,2,322,Regular Customers,0
12505.0,44,1,955.2,3,1,3,313,Regular Customers,0
12507.0,220,1,539.25,1,1,3,113,At Risk,1
12510.0,95,7,4195.45,2,5,5,255,At Risk,0
12511.0,64,1,3084.02,3,1,5,315,Regular Customers,0
12514.0,277,1,580.08,1,1,3,113,At Risk,1
12516.0,66,2,1336.56,3,2,4,324,Regular Customers,0
12519.0,112,1,385.70000000000005,2,1,2,212,At Risk,0
12523.0,10,12,2562.58,5,5,5,555,Champions,0
12524.0,24,9,6640.39,4,5,5,455,Loyal Customers,0
